,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
15883,15886,122.821,33666.0,155.03699999999995,10672.0,-7.0,27.2,0.0,78605,4297,3455,139466,1600,4911
18969,18972,2.075,18.0,0.0,0.0,-7.0,15.0,0.0,74051,5552,1712,231932,4044,7140
6795,6796,0.0,0.0,11.687,1019.0,-7.0,29.8,0.0,90541,3018,894,127758,3114,4777
2703,2703,5.718,45.0,2.5340000000000003,46.0,-6.0,21.6,1.0,73637,3445,570,167134,1123,1014
23709,23712,290.793,89458.0,2.157,45.0,-7.0,28.7,1.0,31621,463,3093,5871,186,10204
18181,18184,4.340999999999998,67.0,0.0,0.0,-3.0,27.0,1.0,79227,6091,1725,203064,2671,9929
3895,3896,1571.619,1643872.0,0.0,0.0,-7.0,28.2,0.0,30509,4693,760,37987,4565,12163
8449,8450,9.3,178.0,0.0,0.0,-7.0,24.8,0.0,81091,2685,2348,3617,3491,12415
6823,6824,5.0680000000000005,1863.0,0.0,0.0,-7.0,26.2,0.0,112861,9347,2820,175484,716,9156
10397,10399,196.585,100344.0,0.0,0.0,-5.0,28.8,0.0,89089,4139,893,209328,59,11969
18878,18881,43.283,3826.0,8.481,505.0,-3.0,19.2,0.0,74325,1814,3153,155940,4955,2452
1655,1655,2511.785,1510500.0,0.0,0.0,-4.0,28.0,0.0,34273,4047,654,191265,3169,7348
20062,20065,11.595,105.0,0.0,0.0,-6.0,29.8,1.0,77664,3979,834,235678,1325,6190
9466,9468,555.302,253823.0,281.115,37282.0,-4.0,-19.8,0.0,139924,2135,4350,149840,1811,11077
9658,9660,31.982,9437.0,0.0,0.0,-6.0,28.2,0.0,94620,8703,1263,287482,3661,5142
17115,17118,30.089,5549.0,0.0,0.0,-3.0,-19.8,0.0,79899,6287,2246,166746,4830,4618
5104,5105,191.18400000000003,53933.0,1726.686,390475.0,-6.0,29.0,0.0,82354,1109,448,199998,3655,6161
15027,15029,200.19000000000003,89114.0,13.8,482.0,-5.0,-19.8,1.0,60320,5238,2966,166695,2345,3505
21047,21050,7.21,1196.0,0.0,0.0,-6.0,29.6,0.0,39043,4638,4016,90104,1735,4458
9309,9311,45.223,2873.0,0.0,0.0,-4.0,29.0,0.0,70116,3499,403,277500,4443,2065
16254,16257,425.461,302139.0,10.438,337.0,-7.0,22.5,0.0,118326,1097,4248,151483,2083,547
22209,22212,3.7,5290.0,0.0,0.0,-7.0,26.6,0.0,105080,5290,1433,124529,6704,14655
16205,16208,12.203,5971.0,4.739000000000001,232.0,-7.0,19.6,0.0,90034,30,1219,185735,1026,2391
2584,2584,4.735,106.0,0.0,0.0,-6.0,27.4,0.0,49907,1721,1160,208107,2954,1527
1063,1063,0.0,0.0,7.007999999999999,71.0,-5.0,19.0,0.0,44301,4812,2565,237301,1781,2187
8777,8778,71.523,36793.0,0.0,0.0,-5.0,-19.8,0.0,90439,1928,4054,177193,3028,1551
5257,5258,38.35,430.0,0.0,0.0,-6.0,7.4,1.0,36921,3869,1369,155605,4673,4918
14187,14189,5.539,454.0,0.0,0.0,-6.0,24.0,0.0,63195,4455,1811,178232,1326,2457
11283,11285,619.75,287169.0,418.598,75317.0,-6.0,26.6,0.0,75584,2123,509,134961,3428,2481
14573,14575,1333.9950000000003,230957.0,66.601,11046.0,-5.0,20.0,0.0,59248,1964,95,139738,5725,2641
21375,21378,109.57,38272.0,0.0,0.0,-6.0,-19.9,0.0,37370,2578,1384,159492,4556,2319
3321,3321,5081.1590000000015,3609914.0,4.419,371.0,-6.0,26.8,0.0,86813,1604,2823,161858,1971,13378
8990,8992,90.352,69715.0,0.0,0.0,-6.0,29.2,0.0,61895,4995,1316,290944,522,8867
19536,19539,753.574,793586.0,21.032,3447.0,-6.0,26.0,0.0,137119,3027,700,6949,2279,6199
1023,1023,252.051,193528.0,5.265,60.0,-3.0,4.1,1.0,36306,5694,141,122001,821,5597
3745,3745,2.41,32.0,0.0,0.0,-7.0,23.0,0.0,66107,2189,4725,65222,4919,6131
14464,14466,226.645,150496.0,9.658999999999999,198.0,-7.0,24.2,1.0,117148,4694,1343,7088,1901,9528
6036,6037,235.571,66514.0,0.0,0.0,-5.0,-19.9,1.0,49020,5236,3147,156049,1163,14574
9213,9215,48.744,34243.0,0.0,0.0,-3.0,-19.8,0.0,48692,2053,976,176935,4302,4313
13265,13267,180.429,103119.0,0.0,0.0,-3.0,29.6,0.0,67482,9760,933,102690,4741,2416
7463,7464,58.253,18099.0,2.464,13.0,-6.0,-19.8,0.0,81869,3974,2949,90718,1398,8894
18534,18537,307.039,309405.0,0.0,0.0,-7.0,25.4,1.0,101861,1430,1570,160579,3770,5097
19024,19027,18.237,8860.0,0.0,0.0,-6.0,25.4,0.0,90595,4119,1566,107149,6212,7137
2194,2194,6293.401999999999,5779044.0,147.83,16674.0,-3.0,-19.7,0.0,81207,2317,2912,217471,1735,2299
